eta,sparse,r,b_d,f,policy,tps,gain,bound,b_eff,tpot_opt,tpot_cons,gpu_nonattn,gpu_attn,cpu_attn,c2c_decode,append_total,append_oldkv,append_flush,hbm_used_gb,hbm_fits,c2c_util,decode_batch_cap
0.3,1.0,0.25,32,0.0,gpu_hot,25.976824184032623,1.0,hbm_capacity,2,0.0769917056,0.0769917056,0.058333333333333334,0.018658372266666667,0.0,0.0,0.9643641280193422,0.03904125155555556,0.0,196.493113344,True,0.0009522244622926972,2.4316791735573475
0.3,1.0,0.25,32,0.05,partial_cpu_attn,22.590919320521568,0.8696567047794743,hbm_capacity,2,0.08853114703407408,0.10625660068740742,0.058333333333333334,0.017725453653333334,0.029853395626666668,0.00033941807407407405,0.9740513197230459,0.03904125155555556,0.009687191703703704,194.254108672,True,0.0012558854539132373,2.5596622879551028
0.3,1.0,0.25,32,0.1,partial_cpu_attn,16.89409744759904,0.6503526885316284,hbm_capacity,2,0.11838454266074075,0.13517707770074075,0.058333333333333334,0.01679253504,0.059706791253333336,0.00033941807407407405,0.9740513197230459,0.03904125155555556,0.009687191703703704,192.015104,True,0.0009432564399430219,2.701865748397053
0.3,1.0,0.25,32,0.2,partial_cpu_attn,12.61522779531681,0.48563395224698447,hbm_capacity,3,0.23780783420444448,0.26019788092444446,0.058333333333333334,0.022390046720000004,0.17912037376000003,0.00034912711111111105,0.9740513197230459,0.03904125155555556,0.009687191703703704,205.449132032,True,0.0005134536344492742,3.0395989669466843
0.3,1.0,0.25,32,0.3,partial_cpu_attn,9.163998334541514,0.3527759309459553,hbm_capacity,3,0.32736802108444446,0.34695931196444446,0.058333333333333334,0.019591290879999997,0.26868056064,0.00034912711111111105,0.9740513197230459,0.03904125155555556,0.009687191703703704,198.732118016,True,0.00037359334205449933,3.4738273907962114
0.3,1.0,0.25,32,0.5,partial_cpu_attn,6.099745335189459,0.2348148985409401,hbm_capacity,4,0.6557650820148149,0.6744234542814815,0.058333333333333334,0.018658372266666667,0.5970679125333334,0.0003588361481481481,0.9740513197230459,0.03904125155555556,0.009687191703703704,196.493113344,True,0.00020171519185300371,4.863358347114695
0.3,1.0,0.25,32,1.0,full_cpu_attn,3.3291526032430427,0.12815856856318097,tpot_balanced,32,9.612055623051852,9.612055623051852,0.058333333333333334,0.0,9.553086600533334,0.0006306891851851851,0.9740513197230459,0.03904125155555556,0.009687191703703704,151.713019904,True,4.207003034751807e-05,inf
0.3,1.0,0.25,64,0.0,gpu_hot,25.976824184032623,1.0,hbm_capacity,2,0.0769917056,0.0769917056,0.058333333333333334,0.018658372266666667,0.0,0.0,0.9643641280193422,0.03904125155555556,0.0,196.493113344,True,0.0009522244622926972,2.4316791735573475
0.3,1.0,0.25,64,0.05,partial_cpu_attn,22.590919320521568,0.8696567047794743,hbm_capacity,2,0.08853114703407408,0.10625660068740742,0.058333333333333334,0.017725453653333334,0.029853395626666668,0.00033941807407407405,0.9740513197230459,0.03904125155555556,0.009687191703703704,194.254108672,True,0.0012558854539132373,2.5596622879551028
0.3,1.0,0.25,64,0.1,partial_cpu_attn,16.89409744759904,0.6503526885316284,hbm_capacity,2,0.11838454266074075,0.13517707770074075,0.058333333333333334,0.01679253504,0.059706791253333336,0.00033941807407407405,0.9740513197230459,0.03904125155555556,0.009687191703703704,192.015104,True,0.0009432564399430219,2.701865748397053
